Date,Month,Year,Revenue,Expenses,Income,Cash_Flow,Quarter,Day_of_Week,Week_of_Year,Cumulative_Cash_Flow
2020-01-01,1,2020,8397.37,5820.11,2577.26,2012.1,1,2,1,2012.1
2020-01-02,1,2020,6393.68,4318.03,2075.64,978.5,1,3,1,2990.6
2020-01-03,1,2020,8023.92,5445.11,2578.8,584.02,1,4,1,3574.62
2020-01-04,1,2020,4503.02,3286.69,1216.33,-978.65,1,5,1,2595.97
2020-01-05,1,2020,4518.6,3097.12,1421.48,3054.79,1,6,1,5650.76
2020-01-06,1,2020,8327.4,5302.42,3024.98,1548.87,1,0,2,7199.63
2020-01-07,1,2020,8893.99,6323.02,2570.97,3951.04,1,1,2,11150.67
2020-01-08,1,2020,7212.02,4477.48,2734.54,1264.9,1,2,2,12415.57
2020-01-09,1,2020,7259.77,4701.47,2558.3,376.83,1,3,2,12792.4
2020-01-10,1,2020,8538.4,5589.78,2948.62,1523.99,1,4,2,14316.39
2020-01-11,1,2020,4978.02,3727.43,1250.59,-212.29,1,5,2,14104.099999999999
2020-01-12,1,2020,5222.64,3733.29,1489.35,1477.07,1,6,2,15581.169999999998
2020-01-13,1,2020,9238.67,6623.29,2615.38,-984.11,1,0,3,14597.059999999998
2020-01-14,1,2020,8878.05,6615.71,2262.33,424.19,1,1,3,15021.249999999998
2020-01-15,1,2020,8058.25,5555.29,2502.96,4101.69,1,2,3,19122.94
2020-01-16,1,2020,7702.59,5490.84,2211.75,-524.22,1,3,3,18598.719999999998
2020-01-17,1,2020,8302.28,6112.18,2190.11,3596.07,1,4,3,22194.789999999997
2020-01-18,1,2020,4707.76,3090.57,1617.19,163.03,1,5,3,22357.819999999996
2020-01-19,1,2020,4588.31,3174.81,1413.49,750.27,1,6,3,23108.089999999997
2020-01-20,1,2020,8383.97,5064.44,3319.54,128.26,1,0,4,23236.349999999995
2020-01-21,1,2020,8040.08,5550.73,2489.36,674.43,1,1,4,23910.779999999995
2020-01-22,1,2020,8307.73,6290.12,2017.61,4177.25,1,2,4,28088.029999999995
2020-01-23,1,2020,8674.26,6600.27,2073.99,1545.93,1,3,4,29633.959999999995
2020-01-24,1,2020,7756.4,5267.97,2488.43,768.38,1,4,4,30402.339999999997
2020-01-25,1,2020,5259.68,3794.34,1465.34,1122.17,1,5,4,31524.509999999995
2020-01-26,1,2020,3649.29,2896.13,753.15,-144.27,1,6,4,31380.239999999994
2020-01-27,1,2020,8400.26,5906.57,2493.69,890.88,1,0,5,32271.119999999995
2020-01-28,1,2020,8488.52,6204.11,2284.41,-580.55,1,1,5,31690.569999999996
2020-01-29,1,2020,9070.32,6428.51,2641.81,-637.84,1,2,5,31052.729999999996
2020-01-30,1,2020,7104.92,4706.59,2398.33,1229.7,1,3,5,32282.429999999997
2020-01-31,1,2020,7177.58,5251.92,1925.66,3855.26,1,4,5,36137.689999999995
2020-02-01,2,2020,6740.64,5025.32,1715.32,5185.21,1,5,5,41322.899999999994
2020-02-02,2,2020,5147.49,3507.21,1640.28,257.08,1,6,5,41579.979999999996
2020-02-03,2,2020,8598.04,6100.57,2497.47,5243.24,1,0,6,46823.219999999994
2020-02-04,2,2020,9133.26,5505.43,3627.84,424.37,1,1,6,47247.59
2020-02-05,2,2020,8229.95,6113.37,2116.58,4255.56,1,2,6,51503.149999999994
2020-02-06,2,2020,7856.2,5559.73,2296.48,3179.65,1,3,6,54682.799999999996
2020-02-07,2,2020,9382.31,6356.84,3025.47,2843.91,1,4,6,57526.70999999999
2020-02-08,2,2020,5514.57,3464.28,2050.29,-419.34,1,5,6,57107.369999999995
2020-02-09,2,2020,5091.1,3388.85,1702.26,3673.93,1,6,6,60781.299999999996
