date,day_of_week,revenue,profit,profit_margin
2024-11-07,Thursday,183236,137716,75.16
2022-11-21,Monday,149332,109808,73.53
2023-03-30,Thursday,139521,95307,68.31
2024-04-15,Monday,128746,80624,62.62
2022-06-20,Monday,112214,75094,66.92
2024-12-27,Friday,111831,63999,57.23
2024-12-24,Tuesday,109674,63755,58.13
2024-11-05,Tuesday,109473,67148,61.34
2024-12-06,Friday,109138,59710,54.71
2024-12-19,Thursday,108199,59630,55.11
2023-04-27,Thursday,107898,65198,60.43
2024-11-18,Monday,107183,65091,60.73
2025-06-25,Wednesday,104957,54525,51.95
2024-12-10,Tuesday,104782,61994,59.16
2024-12-18,Wednesday,104737,56817,54.25
2024-11-20,Wednesday,103201,57655,55.87
2024-12-04,Wednesday,102745,55054,53.58
2025-07-08,Tuesday,101843,50974,50.05
2024-12-11,Wednesday,101666,56399,55.47
2024-12-09,Monday,101212,58593,57.89
2024-11-04,Monday,101189,58542,57.85
2023-12-19,Tuesday,100593,61705,61.34
2024-10-07,Monday,99723,50742,50.88
2025-06-20,Friday,99212,46377,46.75
2023-12-22,Friday,99069,57248,57.79
2025-06-03,Tuesday,98972,43866,44.32
2025-07-02,Wednesday,98861,44432,44.94
2024-12-25,Wednesday,98144,49486,50.42
2023-11-22,Wednesday,97910,57805,59.04
2025-07-22,Tuesday,97631,43600,44.66
2024-12-20,Friday,97328,54799,56.3
2025-07-03,Thursday,97004,45477,46.88
2023-12-14,Thursday,96391,54619,56.66
2023-11-08,Wednesday,96341,57051,59.22
2024-12-05,Thursday,96153,47250,49.14
2023-11-16,Thursday,96131,51814,53.9
2025-07-09,Wednesday,96095,45734,47.59
2025-04-22,Tuesday,95793,48152,50.27
2024-06-07,Friday,95649,16581,17.34
2025-06-27,Friday,95574,42527,44.5
2023-12-18,Monday,95454,57122,59.84
2024-06-24,Monday,95415,48783,51.13
2024-07-17,Wednesday,95397,45529,47.73
2024-06-21,Friday,95368,47472,49.78
2025-05-22,Thursday,95316,48529,50.91
2025-08-01,Friday,95233,47822,50.22
2023-12-04,Monday,95053,55954,58.87
2025-05-28,Wednesday,95023,44963,47.32
2025-06-16,Monday,94609,43163,45.62
2025-06-05,Thursday,94452,43505,46.06
