date,day_of_week,month,year,quarter,revenue,sales,expenditure,profit,profit_margin,cumulative_revenue,cumulative_profit
2021-01-01,Friday,January,2021,Q1,42230,33436,29756,12474,29.54,42230,12474
2021-01-02,Saturday,January,2021,Q1,27764,22995,28537,-773,-2.78,69994,11701
2021-01-03,Sunday,January,2021,Q1,19454,17366,31783,-12329,-63.38,89448,-628
2021-01-04,Monday,January,2021,Q1,44950,37180,32748,12202,27.15,134398,11574
2021-01-05,Tuesday,January,2021,Q1,47315,42421,28959,18356,38.8,181713,29930
2021-01-06,Wednesday,January,2021,Q1,44914,49218,34480,10434,23.23,226627,40364
2021-01-07,Thursday,January,2021,Q1,45270,49131,31987,13283,29.34,271897,53647
2021-01-08,Friday,January,2021,Q1,35646,31271,29816,5830,16.36,307543,59477
2021-01-09,Saturday,January,2021,Q1,25302,23623,29669,-4367,-17.26,332845,55110
2021-01-10,Sunday,January,2021,Q1,25421,25658,32943,-7522,-29.59,358266,47588
2021-01-11,Monday,January,2021,Q1,47832,50798,32663,15169,31.71,406098,62757
2021-01-12,Tuesday,January,2021,Q1,35664,28454,30036,5628,15.78,441762,68385
2021-01-13,Wednesday,January,2021,Q1,46021,43271,30842,15179,32.98,487783,83564
2021-01-14,Thursday,January,2021,Q1,36238,32765,30005,6233,17.2,524021,89797
2021-01-15,Friday,January,2021,Q1,38390,35775,31560,6830,17.79,562411,96627
2021-01-16,Saturday,January,2021,Q1,20252,21906,31009,-10757,-53.12,582663,85870
2021-01-17,Sunday,January,2021,Q1,28762,30467,51279,-22517,-78.29,611425,63353
2021-01-18,Monday,January,2021,Q1,40591,37323,29052,11539,28.43,652016,74892
2021-01-19,Tuesday,January,2021,Q1,47261,53079,31503,15758,33.34,699277,90650
2021-01-20,Wednesday,January,2021,Q1,45928,42811,32186,13742,29.92,745205,104392
2021-01-21,Thursday,January,2021,Q1,40630,45295,28353,12277,30.22,785835,116669
2021-01-22,Friday,January,2021,Q1,46865,55754,30287,16578,35.37,832700,133247
2021-01-23,Saturday,January,2021,Q1,28290,23568,28786,-496,-1.75,860990,132751
2021-01-24,Sunday,January,2021,Q1,20432,20330,30019,-9587,-46.92,881422,123164
2021-01-25,Monday,January,2021,Q1,35388,36770,29617,5771,16.31,916810,128935
2021-01-26,Tuesday,January,2021,Q1,42398,41420,29112,13286,31.34,959208,142221
2021-01-27,Wednesday,January,2021,Q1,41412,35907,28797,12615,30.46,1000620,154836
2021-01-28,Thursday,January,2021,Q1,46486,50891,29849,16637,35.79,1047106,171473
2021-01-29,Friday,January,2021,Q1,34116,40343,31327,2789,8.18,1081222,174262
2021-01-30,Saturday,January,2021,Q1,21027,17515,31018,-9991,-47.52,1102249,164271
2021-01-31,Sunday,January,2021,Q1,25664,29404,30886,-5222,-20.35,1127913,159049
2021-02-01,Monday,February,2021,Q1,35978,31357,31007,4971,13.82,1163891,164020
2021-02-02,Tuesday,February,2021,Q1,46772,47359,31817,14955,31.97,1210663,178975
2021-02-03,Wednesday,February,2021,Q1,45376,56186,33696,11680,25.74,1256039,190655
2021-02-04,Thursday,February,2021,Q1,35419,32515,30737,4682,13.22,1291458,195337
2021-02-05,Friday,February,2021,Q1,44545,43406,34381,10164,22.82,1336003,205501
2021-02-06,Saturday,February,2021,Q1,26096,22035,34452,-8356,-32.02,1362099,197145
2021-02-07,Sunday,February,2021,Q1,26380,21889,31517,-5137,-19.47,1388479,192008
2021-02-08,Monday,February,2021,Q1,47372,38177,32098,15274,32.24,1435851,207282
2021-02-09,Tuesday,February,2021,Q1,33918,38217,32095,1823,5.37,1469769,209105
2021-02-10,Wednesday,February,2021,Q1,41338,43528,29636,11702,28.31,1511107,220807
2021-02-11,Thursday,February,2021,Q1,38332,40145,30341,7991,20.85,1549439,228798
2021-02-12,Friday,February,2021,Q1,39332,49514,28811,10521,26.75,1588771,239319
2021-02-13,Saturday,February,2021,Q1,28159,33679,30678,-2519,-8.95,1616930,236800
2021-02-14,Sunday,February,2021,Q1,25953,28433,78816,-52863,-203.69,1642883,183937
2021-02-15,Monday,February,2021,Q1,42614,48263,29077,13537,31.77,1685497,197474
2021-02-16,Tuesday,February,2021,Q1,36357,38705,29632,6725,18.5,1721854,204199
2021-02-17,Wednesday,February,2021,Q1,39816,47873,28931,10885,27.34,1761670,215084
2021-02-18,Thursday,February,2021,Q1,32056,36019,30000,2056,6.41,1793726,217140
2021-02-19,Friday,February,2021,Q1,38842,29897,33913,4929,12.69,1832568,222069
2021-02-20,Saturday,February,2021,Q1,27212,27120,29152,-1940,-7.13,1859780,220129
2021-02-21,Sunday,February,2021,Q1,26842,31940,29673,-2831,-10.55,1886622,217298
2021-02-22,Monday,February,2021,Q1,44481,50835,32260,12221,27.47,1931103,229519
2021-02-23,Tuesday,February,2021,Q1,45833,56259,33902,11931,26.03,1976936,241450
2021-02-24,Wednesday,February,2021,Q1,37314,45066,33793,3521,9.44,2014250,244971
2021-02-25,Thursday,February,2021,Q1,44597,39005,33759,10838,24.3,2058847,255809
2021-02-26,Friday,February,2021,Q1,39364,37368,29783,9581,24.34,2098211,265390
2021-02-27,Saturday,February,2021,Q1,22351,26804,30108,-7757,-34.71,2120562,257633
2021-02-28,Sunday,February,2021,Q1,28619,30308,29076,-457,-1.6,2149181,257176
2021-03-01,Monday,March,2021,Q1,59250,51589,31087,28163,47.53,2208431,285339
2021-03-02,Tuesday,March,2021,Q1,52124,51761,31982,20142,38.64,2260555,305481
2021-03-03,Wednesday,March,2021,Q1,40033,47027,32882,7151,17.86,2300588,312632
2021-03-04,Thursday,March,2021,Q1,47284,39793,30430,16854,35.64,2347872,329486
2021-03-05,Friday,March,2021,Q1,54395,49095,30922,23473,43.15,2402267,352959
2021-03-06,Saturday,March,2021,Q1,25527,25803,32617,-7090,-27.77,2427794,345869
2021-03-07,Sunday,March,2021,Q1,27611,26734,30157,-2546,-9.22,2455405,343323
2021-03-08,Monday,March,2021,Q1,53094,52047,29696,23398,44.07,2508499,366721
2021-03-09,Tuesday,March,2021,Q1,55920,46516,31597,24323,43.5,2564419,391044
2021-03-10,Wednesday,March,2021,Q1,56368,63102,29765,26603,47.2,2620787,417647
2021-03-11,Thursday,March,2021,Q1,44896,46004,28808,16088,35.83,2665683,433735
2021-03-12,Friday,March,2021,Q1,79032,85190,29887,49145,62.18,2744715,482880
2021-03-13,Saturday,March,2021,Q1,33240,27799,29458,3782,11.38,2777955,486662
2021-03-14,Sunday,March,2021,Q1,24602,22904,31225,-6623,-26.92,2802557,480039
2021-03-15,Monday,March,2021,Q1,59757,64830,33965,25792,43.16,2862314,505831
2021-03-16,Tuesday,March,2021,Q1,50095,56990,34002,16093,32.12,2912409,521924
2021-03-17,Wednesday,March,2021,Q1,45183,41173,33174,12009,26.58,2957592,533933
2021-03-18,Thursday,March,2021,Q1,45491,36992,30061,15430,33.92,3003083,549363
