date,day_of_week,month,year,quarter,revenue,sales,expenditure,profit,profit_margin,cumulative_revenue,cumulative_profit,revenue_growth_rate,profit_growth_rate,rolling_avg_revenue_7d,rolling_avg_revenue_30d
2021-01-01,Friday,January,2021,Q1,42230,33436,29756,12474,29.54,42230,12474,,,,
2021-01-02,Saturday,January,2021,Q1,27764,22995,28537,-773,-2.78,69994,11701,-34.2552687662799,-106.19688953022286,,
2021-01-03,Sunday,January,2021,Q1,19454,17366,31783,-12329,-63.38,89448,-628,-29.930845699466936,1494.954721862872,,
2021-01-04,Monday,January,2021,Q1,44950,37180,32748,12202,27.15,134398,11574,131.05788012748022,-198.96990834617569,,
2021-01-05,Tuesday,January,2021,Q1,47315,42421,28959,18356,38.8,181713,29930,5.261401557285872,50.434355023766585,,
2021-01-06,Wednesday,January,2021,Q1,44914,49218,34480,10434,23.23,226627,40364,-5.074500686885763,-43.157550664632815,,
2021-01-07,Thursday,January,2021,Q1,45270,49131,31987,13283,29.34,271897,53647,0.7926259072894792,27.30496453900708,38842.42857142857,
2021-01-08,Friday,January,2021,Q1,35646,31271,29816,5830,16.36,307543,59477,-21.259111994698475,-56.109312655273655,37901.857142857145,
2021-01-09,Saturday,January,2021,Q1,25302,23623,29669,-4367,-17.26,332845,55110,-29.018683723278905,-174.9056603773585,37550.142857142855,
2021-01-10,Sunday,January,2021,Q1,25421,25658,32943,-7522,-29.59,358266,47588,0.470318551893123,72.24639340508358,38402.57142857143,
2021-01-11,Monday,January,2021,Q1,47832,50798,32663,15169,31.71,406098,62757,88.15939577514654,-301.6617920765754,38814.28571428572,
2021-01-12,Tuesday,January,2021,Q1,35664,28454,30036,5628,15.78,441762,68385,-25.439036628198696,-62.89801568989386,37149.857142857145,
2021-01-13,Wednesday,January,2021,Q1,46021,43271,30842,15179,32.98,487783,83564,29.040489008524005,169.70504619758353,37308.0,
2021-01-14,Thursday,January,2021,Q1,36238,32765,30005,6233,17.2,524021,89797,-21.257686708241884,-58.936688846432574,36017.71428571428,
2021-01-15,Friday,January,2021,Q1,38390,35775,31560,6830,17.79,562411,96627,5.938517578232805,9.578052302262163,36409.71428571428,
2021-01-16,Saturday,January,2021,Q1,20252,21906,31009,-10757,-53.12,582663,85870,-47.24667882261006,-257.4963396778917,35688.28571428572,
2021-01-17,Sunday,January,2021,Q1,28762,30467,51279,-22517,-78.29,611425,63353,42.020541181117906,109.32416101143443,36165.57142857143,
2021-01-18,Monday,January,2021,Q1,40591,37323,29052,11539,28.43,652016,74892,41.127181698073855,-151.2457254518808,35131.142857142855,
2021-01-19,Tuesday,January,2021,Q1,47261,53079,31503,15758,33.34,699277,90650,16.43221403759454,36.56296039518156,36787.857142857145,
2021-01-20,Wednesday,January,2021,Q1,45928,42811,32186,13742,29.92,745205,104392,-2.8205073951037885,-12.793501713415411,36774.57142857143,
2021-01-21,Thursday,January,2021,Q1,40630,45295,28353,12277,30.22,785835,116669,-11.535446786274173,-10.660748071605298,37402.0,
2021-01-22,Friday,January,2021,Q1,46865,55754,30287,16578,35.37,832700,133247,15.345803593403895,35.032988515109565,38612.71428571428,
2021-01-23,Saturday,January,2021,Q1,28290,23568,28786,-496,-1.75,860990,132751,-39.63512215939401,-102.99191699843166,39761.0,
2021-01-24,Sunday,January,2021,Q1,20432,20330,30019,-9587,-46.92,881422,123164,-27.77659950512549,1832.8629032258063,38571.0,
2021-01-25,Monday,January,2021,Q1,35388,36770,29617,5771,16.31,916810,128935,73.19890368050118,-160.19609888390528,37827.71428571428,
2021-01-26,Tuesday,January,2021,Q1,42398,41420,29112,13286,31.34,959208,142221,19.808974793715393,130.22006584647374,37133.0,
2021-01-27,Wednesday,January,2021,Q1,41412,35907,28797,12615,30.46,1000620,154836,-2.3255813953488413,-5.050429023031766,36487.857142857145,
2021-01-28,Thursday,January,2021,Q1,46486,50891,29849,16637,35.79,1047106,171473,12.252487201777274,31.882679349980194,37324.42857142857,
2021-01-29,Friday,January,2021,Q1,34116,40343,31327,2789,8.18,1081222,174262,-26.610162199371857,-83.2361603654505,35503.142857142855,
2021-01-30,Saturday,January,2021,Q1,21027,17515,31018,-9991,-47.52,1102249,164271,-38.36616250439676,-458.22875582646105,34465.57142857143,36741.63333333333
2021-01-31,Sunday,January,2021,Q1,25664,29404,30886,-5222,-20.35,1127913,159049,22.05259903933039,-47.73295966369733,35213.0,36189.433333333334
2021-02-01,Monday,February,2021,Q1,35978,31357,31007,4971,13.82,1163891,164020,40.1885910224439,-195.19341248563768,35297.28571428572,36463.23333333333
2021-02-02,Tuesday,February,2021,Q1,46772,47359,31817,14955,31.97,1210663,178975,30.001667685807988,200.84490042245022,35922.142857142855,37373.833333333336
2021-02-03,Wednesday,February,2021,Q1,45376,56186,33696,11680,25.74,1256039,190655,-2.9846916958864322,-21.899030424607158,36488.42857142857,37388.03333333333
2021-02-04,Thursday,February,2021,Q1,35419,32515,30737,4682,13.22,1291458,195337,-21.943318053596617,-59.91438356164384,34907.42857142857,36991.5
2021-02-05,Friday,February,2021,Q1,44545,43406,34381,10164,22.82,1336003,205501,25.765831898133772,117.08671507902606,36397.28571428572,36979.2
2021-02-06,Saturday,February,2021,Q1,26096,22035,34452,-8356,-32.02,1362099,197145,-41.41654506678639,-182.2117276662731,37121.42857142857,36340.066666666666
2021-02-07,Sunday,February,2021,Q1,26380,21889,31517,-5137,-19.47,1388479,192008,1.088289393010422,-38.52321685016754,37223.71428571428,36031.2
2021-02-08,Monday,February,2021,Q1,47372,38177,32098,15274,32.24,1435851,207282,79.5754359363154,-397.33307377846995,38851.42857142857,36766.86666666667
2021-02-09,Tuesday,February,2021,Q1,33918,38217,32095,1823,5.37,1469769,209105,-28.40074305496918,-88.06468508576665,37015.142857142855,37050.1
