date,day_of_week,month,year,quarter,revenue,sales,expenditure,profit,profit_margin,cumulative_revenue,cumulative_profit
2024-01-01,Monday,January,2024,Q1,63098,53399,42968,20130,31.9,58758339,18354316
2024-01-02,Tuesday,January,2024,Q1,63798,72485,47165,16633,26.07,58822137,18370949
2024-01-03,Wednesday,January,2024,Q1,46495,49814,49515,-3020,-6.5,58868632,18367929
2024-01-04,Thursday,January,2024,Q1,48587,44280,50071,-1484,-3.05,58917219,18366445
2024-01-05,Friday,January,2024,Q1,67956,56237,41371,26585,39.12,58985175,18393030
2024-01-06,Saturday,January,2024,Q1,34519,35454,47118,-12599,-36.5,59019694,18380431
2024-01-07,Sunday,January,2024,Q1,36503,37420,50240,-13737,-37.63,59056197,18366694
2024-01-08,Monday,January,2024,Q1,49400,58284,43692,5708,11.55,59105597,18372402
2024-01-09,Tuesday,January,2024,Q1,59094,59005,43438,15656,26.49,59164691,18388058
2024-01-10,Wednesday,January,2024,Q1,55654,43667,44656,10998,19.76,59220345,18399056
2024-01-11,Thursday,January,2024,Q1,68542,57869,48425,20117,29.35,59288887,18419173
2024-01-12,Friday,January,2024,Q1,67366,69166,41985,25381,37.68,59356253,18444554
2024-01-13,Saturday,January,2024,Q1,34040,31763,46591,-12551,-36.87,59390293,18432003
2024-01-14,Sunday,January,2024,Q1,32965,29206,41956,-8991,-27.27,59423258,18423012
2024-01-15,Monday,January,2024,Q1,62093,67164,49609,12484,20.11,59485351,18435496
2024-01-16,Tuesday,January,2024,Q1,48348,45724,48429,-81,-0.17,59533699,18435415
2024-01-17,Wednesday,January,2024,Q1,62276,55863,45014,17262,27.72,59595975,18452677
2024-01-18,Thursday,January,2024,Q1,67681,68116,44880,22801,33.69,59663656,18475478
2024-01-19,Friday,January,2024,Q1,65257,62010,88464,-23207,-35.56,59728913,18452271
2024-01-20,Saturday,January,2024,Q1,30376,27863,49116,-18740,-61.69,59759289,18433531
2024-01-21,Sunday,January,2024,Q1,34173,36952,43528,-9355,-27.38,59793462,18424176
2024-01-22,Monday,January,2024,Q1,50742,45445,46625,4117,8.11,59844204,18428293
2024-01-23,Tuesday,January,2024,Q1,58797,45366,42676,16121,27.42,59903001,18444414
2024-01-24,Wednesday,January,2024,Q1,66555,79760,45553,21002,31.56,59969556,18465416
2024-01-25,Thursday,January,2024,Q1,54768,59690,44715,10053,18.36,60024324,18475469
2024-01-26,Friday,January,2024,Q1,46721,37557,49973,-3252,-6.96,60071045,18472217
2024-01-27,Saturday,January,2024,Q1,36868,38825,46826,-9958,-27.01,60107913,18462259
2024-01-28,Sunday,January,2024,Q1,32028,31477,41306,-9278,-28.97,60139941,18452981
2024-01-29,Monday,January,2024,Q1,62700,74121,48961,13739,21.91,60202641,18466720
2024-01-30,Tuesday,January,2024,Q1,59610,64535,41179,18431,30.92,60262251,18485151
2024-01-31,Wednesday,January,2024,Q1,69124,80630,46550,22574,32.66,60331375,18507725
2024-02-01,Thursday,February,2024,Q1,57709,57910,46693,11016,19.09,60389084,18518741
2024-02-02,Friday,February,2024,Q1,57719,62843,44962,12757,22.1,60446803,18531498
2024-02-03,Saturday,February,2024,Q1,40268,38829,45627,-5359,-13.31,60487071,18526139
2024-02-04,Sunday,February,2024,Q1,37549,29708,42863,-5314,-14.15,60524620,18520825
2024-02-05,Monday,February,2024,Q1,51497,58959,46607,4890,9.5,60576117,18525715
2024-02-06,Tuesday,February,2024,Q1,49442,46314,49875,-433,-0.88,60625559,18525282
2024-02-07,Wednesday,February,2024,Q1,63442,73079,48822,14620,23.04,60689001,18539902
2024-02-08,Thursday,February,2024,Q1,63782,65520,42929,20853,32.69,60752783,18560755
2024-02-09,Friday,February,2024,Q1,56050,65802,43020,13030,23.25,60808833,18573785
2024-02-10,Saturday,February,2024,Q1,40102,36518,48670,-8568,-21.37,60848935,18565217
